,State,Year,Month,Residential_MkWh,Industrial_MkWh,Commercial_MkWh,Value,Anomaly
0,AL,2000,1,2566699.0,2912590.0,1444098.0,63.9,0.0
1,AL,2000,2,2318484.0,2676927.0,1366694.0,63.9,0.0
2,AL,2000,3,1694681.0,2785039.0,1375682.0,64.5,0.6
3,AL,2000,4,1631559.0,2891342.0,1351320.0,63.9,0.0
4,AL,2000,5,2104031.0,3005015.0,1648653.0,64.2,0.3
5,AL,2000,6,2828757.0,3159938.0,1787975.0,64.3,0.4
6,AL,2000,7,3358558.0,3031980.0,1910872.0,64.4,0.5
7,AL,2000,8,3209690.0,3084250.0,1906356.0,64.4,0.5
8,AL,2000,9,2690152.0,3059346.0,1745139.0,64.4,0.5
9,AL,2000,10,1789688.0,2725862.0,1524858.0,64.5,0.6
10,AL,2000,11,1815647.0,2986576.0,1476522.0,64.2,0.2
11,AL,2000,12,2748170.0,2715622.0,1518728.0,63.6,-0.3
12,AL,2001,1,3263403.0,2515146.0,1524632.0,63.1,-0.8
13,AL,2001,2,2109814.0,2532080.0,1346038.0,63.2,-0.7
14,AL,2001,3,1919162.0,2510930.0,1405572.0,62.5,-1.4
15,AL,2001,4,1886082.0,2732527.0,1387448.0,62.9,-1.0
16,AL,2001,5,1945314.0,2764527.0,1641160.0,62.6,-1.3
17,AL,2001,6,2461648.0,2941857.0,1701771.0,62.5,-1.4
18,AL,2001,7,3111696.0,2720770.0,1895959.0,62.3,-1.6
19,AL,2001,8,3070820.0,2877009.0,1890038.0,62.1,-1.8
20,AL,2001,9,2555748.0,2760960.0,1719992.0,61.9,-2.0
21,AL,2001,10,1781137.0,2609475.0,1529360.0,61.6,-2.3
22,AL,2001,11,1707822.0,2655830.0,1387809.0,62.1,-1.9
23,AL,2001,12,1989562.0,2327973.0,1438361.0,63.0,-0.9
24,AL,2002,1,2966510.0,2553839.0,1539061.0,63.5,-0.4
25,AL,2002,2,1974586.0,2415679.0,1297063.0,63.0,-0.9
26,AL,2002,3,2240338.0,2519124.0,1436039.0,63.3,-0.6
27,AL,2002,4,1792472.0,2837303.0,1490994.0,63.4,-0.5
28,AL,2002,5,2181617.0,2838999.0,1696914.0,63.4,-0.5
29,AL,2002,6,2648414.0,2809553.0,1754486.0,63.5,-0.4
30,AL,2002,7,3301865.0,2884403.0,1987513.0,63.5,-0.4
31,AL,2002,8,3347771.0,2947078.0,1971234.0,63.6,-0.3
32,AL,2002,9,2926615.0,2746425.0,1861279.0,64.1,0.2
33,AL,2002,10,2241182.0,2708830.0,1714688.0,64.7,0.8
34,AL,2002,11,1761079.0,2801231.0,1442458.0,64.0,0.0
35,AL,2002,12,2639314.0,2552875.0,1474128.0,63.6,-0.3
36,AL,2003,1,3057566.0,2561888.0,1660909.0,63.0,-0.9
37,AL,2003,2,2562968.0,2751312.0,1464377.0,63.2,-0.7
38,AL,2003,3,2028498.0,2727186.0,1508853.0,63.4,-0.5
39,AL,2003,4,1724733.0,2896410.0,1499231.0,63.1,-0.8
40,AL,2003,5,2166607.0,2989102.0,1758545.0,63.3,-0.6
41,AL,2003,6,2425680.0,2847380.0,1781333.0,63.1,-0.8
42,AL,2003,7,3172894.0,2827288.0,2008293.0,63.0,-0.9
43,AL,2003,8,3201598.0,3005800.0,2053080.0,62.9,-1.0
44,AL,2003,9,2879872.0,2863884.0,1895734.0,62.6,-1.3
45,AL,2003,10,1886860.0,2908717.0,1666281.0,62.2,-1.7
46,AL,2003,11,1709484.0,2905326.0,1586812.0,62.8,-1.2
47,AL,2003,12,2599657.0,2732876.0,1527183.0,62.7,-1.2
48,AL,2004,1,3057136.0,2818663.0,1645814.0,63.1,-0.8
49,AL,2004,2,2591918.0,2765391.0,1543699.0,62.9,-1.0
50,AL,2004,3,2136277.0,2938600.0,1588936.0,63.0,-0.9
51,AL,2004,4,1795553.0,3016703.0,1562331.0,62.8,-1.1
52,AL,2004,5,2252708.0,3105682.0,1884567.0,62.9,-1.0
53,AL,2004,6,2893676.0,3008530.0,1887743.0,63.0,-0.9
54,AL,2004,7,3315475.0,3228089.0,2116444.0,63.1,-0.8
