State,Year,Month,Value,Anomaly
AL,2000,1,63.9,0.0
AL,2000,2,63.9,0.0
AL,2000,3,64.5,0.6
AL,2000,4,63.9,0.0
AL,2000,5,64.2,0.3
AL,2000,6,64.3,0.4
AL,2000,7,64.4,0.5
AL,2000,8,64.4,0.5
AL,2000,9,64.4,0.5
AL,2000,10,64.5,0.6
AL,2000,11,64.2,0.2
AL,2000,12,63.6,-0.3
AL,2001,1,63.1,-0.8
AL,2001,2,63.2,-0.7
AL,2001,3,62.5,-1.4
AL,2001,4,62.9,-1.0
AL,2001,5,62.6,-1.3
AL,2001,6,62.5,-1.4
AL,2001,7,62.3,-1.6
AL,2001,8,62.1,-1.8
AL,2001,9,61.9,-2.0
AL,2001,10,61.6,-2.3
AL,2001,11,62.1,-1.9
AL,2001,12,63.0,-0.9
AL,2002,1,63.5,-0.4
AL,2002,2,63.0,-0.9
AL,2002,3,63.3,-0.6
AL,2002,4,63.4,-0.5
AL,2002,5,63.4,-0.5
AL,2002,6,63.5,-0.4
AL,2002,7,63.5,-0.4
AL,2002,8,63.6,-0.3
AL,2002,9,64.1,0.2
AL,2002,10,64.7,0.8
AL,2002,11,64.0,0.0
AL,2002,12,63.6,-0.3
AL,2003,1,63.0,-0.9
AL,2003,2,63.2,-0.7
AL,2003,3,63.4,-0.5
AL,2003,4,63.1,-0.8
AL,2003,5,63.3,-0.6
AL,2003,6,63.1,-0.8
AL,2003,7,63.0,-0.9
AL,2003,8,62.9,-1.0
AL,2003,9,62.6,-1.3
AL,2003,10,62.2,-1.7
AL,2003,11,62.8,-1.2
AL,2003,12,62.7,-1.2
AL,2004,1,63.1,-0.8
AL,2004,2,62.9,-1.0
AL,2004,3,63.0,-0.9
AL,2004,4,62.8,-1.1
AL,2004,5,62.9,-1.0
AL,2004,6,63.0,-0.9
AL,2004,7,63.1,-0.8
AL,2004,8,62.8,-1.1
AL,2004,9,62.9,-1.0
AL,2004,10,63.3,-0.6
AL,2004,11,63.2,-0.8
AL,2004,12,63.3,-0.6
AL,2005,1,63.8,-0.1
AL,2005,2,64.2,0.3
AL,2005,3,63.8,-0.1
AL,2005,4,63.8,-0.1
AL,2005,5,63.4,-0.5
AL,2005,6,63.4,-0.5
AL,2005,7,63.5,-0.4
AL,2005,8,63.8,-0.1
AL,2005,9,64.1,0.2
AL,2005,10,63.7,-0.2
AL,2005,11,63.5,-0.5
AL,2005,12,63.4,-0.5
AL,2006,1,63.6,-0.3
AL,2006,2,63.1,-0.8
AL,2006,3,63.3,-0.6
AL,2006,4,63.9,0.0
AL,2006,5,64.1,0.2
AL,2006,6,64.2,0.3
AL,2006,7,64.3,0.4
AL,2006,8,64.5,0.6
AL,2006,9,64.1,0.2
AL,2006,10,64.0,0.1
AL,2006,11,63.7,-0.3
AL,2006,12,64.2,0.3
AL,2007,1,63.8,-0.1
