Date,Energy Source,Value,Generation (TWh)
2001-01-01,Bioenergy,8799.720000000001,8.79972
2001-01-01,Clean,186169.03,186.16903
2001-01-01,Coal,354574.2,354.5742
2001-01-01,Fossil,477371.78,477.37178
2001-01-01,Gas,84777.36,84.77736
2001-01-01,Gas and Other Fossil,122797.58,122.79758
2001-01-01,Hydro,36526.829999999994,36.52683
2001-01-01,"Hydro, Bioenergy and Other Renewables",47976.38,47.97638
2001-01-01,Nuclear,137414.15,137.41415
2001-01-01,Other Fossil,38020.22,38.02022
2001-01-01,Other Renewables,2649.8300000000004,2.6498300000000006
2001-01-01,Renewables,48754.88,48.75488
2001-01-01,Total Generation,663540.8099999999,663.54081
2001-01-01,Wind,778.5,0.7785
2001-01-01,Wind and Solar,778.5,0.7785
2001-02-01,Bioenergy,7586.97,7.58697
2001-02-01,Clean,166859.26,166.85926
2001-02-01,Coal,299470.96,299.47096000000005
2001-02-01,Fossil,397751.74000000005,397.75174000000004
2001-02-01,Gas,75933.84999999999,75.93384999999999
2001-02-01,Gas and Other Fossil,98280.78,98.28078
2001-02-01,Hydro,33531.86,33.53186
2001-02-01,"Hydro, Bioenergy and Other Renewables",43451.98,43.451980000000006
2001-02-01,Nuclear,122544.82,122.54482
2001-02-01,Other Fossil,22346.93,22.34693
2001-02-01,Other Renewables,2333.15,2.3331500000000003
2001-02-01,Renewables,44314.44,44.314440000000005
2001-02-01,Total Generation,564611.0,564.611
2001-02-01,Wind,862.46,0.86246
2001-02-01,Wind and Solar,862.46,0.86246
2001-03-01,Bioenergy,8083.17,8.08317
2001-03-01,Clean,175403.53,175.40353
2001-03-01,Coal,310537.99,310.53799
2001-03-01,Fossil,424629.95,424.62995
2001-03-01,Gas,88728.84000000001,88.72884
2001-03-01,Gas and Other Fossil,114091.96,114.09196
2001-03-01,Hydro,39407.67,39.407669999999996
2001-03-01,"Hydro, Bioenergy and Other Renewables",50057.88,50.05788
2001-03-01,Nuclear,124281.41,124.28141000000001
2001-03-01,Other Fossil,25363.12,25.36312
2001-03-01,Other Renewables,2567.04,2.56704
2001-03-01,Renewables,51122.119999999995,51.122119999999995
2001-03-01,Total Generation,600033.48,600.0334799999999
2001-03-01,Wind,1064.24,1.06424
2001-03-01,Wind and Solar,1064.24,1.06424
2001-04-01,Bioenergy,8016.5,8.0165
2001-04-01,Clean,158232.9,158.2329
2001-04-01,Coal,281341.32,281.34132
2001-04-01,Fossil,396810.73,396.81073
2001-04-01,Gas,91685.52,91.68552000000001
2001-04-01,Gas and Other Fossil,115469.42,115.46942
2001-04-01,Hydro,34434.159999999996,34.43416
2001-04-01,"Hydro, Bioenergy and Other Renewables",44857.42,44.85742
2001-04-01,Nuclear,112006.08,112.00608
2001-04-01,Other Fossil,23783.9,23.783900000000003
2001-04-01,Other Renewables,2406.76,2.4067600000000002
2001-04-01,Renewables,46226.82,46.22682
2001-04-01,Total Generation,555043.64,555.04364
2001-04-01,Wind,1369.4,1.3694000000000002
2001-04-01,Wind and Solar,1369.4,1.3694000000000002
2001-05-01,Bioenergy,7901.35,7.901350000000001
2001-05-01,Clean,171616.61,171.61660999999998
2001-05-01,Coal,303185.83999999997,303.18584
2001-05-01,Fossil,427878.02999999997,427.87802999999997
2001-05-01,Gas,101868.40999999999,101.86840999999998
2001-05-01,Gas and Other Fossil,124692.18,124.69218
2001-05-01,Hydro,37106.21,37.10621
2001-05-01,"Hydro, Bioenergy and Other Renewables",47321.64,47.32164
2001-05-01,Nuclear,123024.92,123.02492
2001-05-01,Other Fossil,22823.77,22.82377
2001-05-01,Other Renewables,2314.08,2.31408
2001-05-01,Renewables,48591.689999999995,48.59168999999999
2001-05-01,Total Generation,599494.63,599.49463
2001-05-01,Wind,1270.05,1.27005
2001-05-01,Wind and Solar,1270.05,1.27005
2001-06-01,Bioenergy,8231.62,8.231620000000001
2001-06-01,Clean,187866.33,187.86632999999998
2001-06-01,Coal,325231.59,325.23159000000004
2001-06-01,Fossil,465854.12,465.85412
2001-06-01,Gas,115206.31,115.20631
2001-06-01,Gas and Other Fossil,140622.53,140.62253
2001-06-01,Hydro,39907.97,39.90797
2001-06-01,"Hydro, Bioenergy and Other Renewables",50480.88,50.48088
2001-06-01,Nuclear,136046.19,136.04619
2001-06-01,Other Fossil,25416.22,25.416220000000003
2001-06-01,Other Renewables,2341.29,2.34129
2001-06-01,Renewables,51820.14,51.82014
2001-06-01,Total Generation,653720.45,653.7204499999999
2001-06-01,Wind,1339.26,1.33926
2001-06-01,Wind and Solar,1339.26,1.33926
2001-07-01,Bioenergy,8677.92,8.67792
2001-07-01,Clean,185229.13,185.22913
2001-07-01,Coal,358120.83,358.12083
2001-07-01,Fossil,528006.14,528.00614
2001-07-01,Gas,146060.30000000002,146.0603
2001-07-01,Gas and Other Fossil,169885.30000000002,169.88530000000003
2001-07-01,Hydro,34416.66,34.41666
2001-07-01,"Hydro, Bioenergy and Other Renewables",45627.08,45.62708
2001-07-01,Nuclear,138332.06,138.33205999999998
2001-07-01,Other Fossil,23825.0,23.825
2001-07-01,Other Renewables,2532.5,2.5325
2001-07-01,Renewables,46897.07,46.89707
2001-07-01,Total Generation,713235.26,713.23526
2001-07-01,Wind,1269.99,1.26999
2001-07-01,Wind and Solar,1269.99,1.26999
2001-08-01,Bioenergy,8927.039999999999,8.92704
2001-08-01,Clean,185766.98,185.76698000000002
2001-08-01,Coal,366232.15,366.23215000000005
2001-08-01,Fossil,553312.94,553.3129399999999
2001-08-01,Gas,156819.58,156.81957999999997
2001-08-01,Gas and Other Fossil,187080.8,187.08079999999998
2001-08-01,Hydro,36398.33,36.39833
2001-08-01,"Hydro, Bioenergy and Other Renewables",47833.57,47.83357
2001-08-01,Nuclear,136778.99,136.77899
2001-08-01,Other Fossil,30261.22,30.26122
2001-08-01,Other Renewables,2508.2,2.5082
2001-08-01,Renewables,48987.99,48.987989999999996
2001-08-01,Total Generation,739079.9299999999,739.07993
2001-08-01,Wind,1154.42,1.15442
2001-08-01,Wind and Solar,1154.42,1.15442
2001-09-01,Bioenergy,8151.25,8.15125
2001-09-01,Clean,167022.94,167.02294
2001-09-01,Coal,308316.62,308.31662
2001-09-01,Fossil,445085.28,445.08528
2001-09-01,Gas,120362.32,120.36232000000001
2001-09-01,Gas and Other Fossil,136768.66,136.76866
2001-09-01,Hydro,28655.22,28.65522
2001-09-01,"Hydro, Bioenergy and Other Renewables",39285.58,39.28558
2001-09-01,Nuclear,126756.89,126.75689
2001-09-01,Other Fossil,16406.34,16.40634
2001-09-01,Other Renewables,2479.11,2.47911
2001-09-01,Renewables,40266.049999999996,40.26604999999999
2001-09-01,Total Generation,612108.22,612.10822
2001-09-01,Wind,980.47,0.9804700000000001
2001-09-01,Wind and Solar,980.47,0.9804700000000001
2001-10-01,Bioenergy,8522.2,8.522200000000002
2001-10-01,Clean,162427.83,162.42783
2001-10-01,Coal,297861.64,297.86164
2001-10-01,Fossil,425284.47000000003,425.28447000000006
2001-10-01,Gas,112752.90000000001,112.75290000000001
2001-10-01,Gas and Other Fossil,127422.84,127.42284
2001-10-01,Hydro,29238.51,29.238509999999998
2001-10-01,"Hydro, Bioenergy and Other Renewables",40292.229999999996,40.292229999999996
2001-10-01,Nuclear,120921.94,120.92194
2001-10-01,Other Fossil,14669.94,14.66994
2001-10-01,Other Renewables,2531.52,2.53152
2001-10-01,Renewables,41505.89,41.50589
2001-10-01,Total Generation,587712.31,587.71231
2001-10-01,Wind,1213.66,1.2136600000000002
2001-10-01,Wind and Solar,1213.66,1.2136600000000002
2001-11-01,Bioenergy,8141.849999999999,8.14185
2001-11-01,Clean,165512.75,165.51275
2001-11-01,Coal,288234.01,288.23401
2001-11-01,Fossil,390873.33,390.87333
2001-11-01,Gas,88981.25,88.98125
2001-11-01,Gas and Other Fossil,102639.32,102.63932000000001
2001-11-01,Hydro,29204.27,29.20427
2001-11-01,"Hydro, Bioenergy and Other Renewables",39888.43,39.88843
2001-11-01,Nuclear,124683.4,124.68339999999999
2001-11-01,Other Fossil,13658.07,13.65807
2001-11-01,Other Renewables,2542.31,2.54231
2001-11-01,Renewables,40829.35,40.82935
2001-11-01,Total Generation,556386.08,556.38608
2001-11-01,Wind,940.92,0.94092
2001-11-01,Wind and Solar,940.92,0.94092
2001-12-01,Bioenergy,8456.51,8.45651
2001-12-01,Clean,184576.35,184.57635000000002
2001-12-01,Coal,314804.72,314.80472
2001-12-01,Fossil,424497.4,424.4974
2001-12-01,Gas,95081.76000000001,95.08176
2001-12-01,Gas and Other Fossil,109692.68,109.69268
2001-12-01,Hydro,37447.47,37.44747
2001-12-01,"Hydro, Bioenergy and Other Renewables",48483.28,48.48328
2001-12-01,Nuclear,134861.75,134.86175
2001-12-01,Other Fossil,14610.92,14.61092
2001-12-01,Other Renewables,2579.3,2.5793000000000004
2001-12-01,Renewables,49714.6,49.7146
2001-12-01,Total Generation,609073.75,609.07375
2001-12-01,Wind,1231.32,1.23132
2001-12-01,Wind and Solar,1231.32,1.23132
2002-01-01,Bioenergy,8977.57,8.97757
2002-01-01,Clean,197362.52,197.36252
2002-01-01,Coal,328716.06,328.71605999999997
2002-01-01,Fossil,440230.27,440.23027
2002-01-01,Gas,96825.65000000001,96.82565000000001
2002-01-01,Gas and Other Fossil,111514.20999999999,111.51420999999999
2002-01-01,Hydro,42089.64000000001,42.08964000000001
2002-01-01,"Hydro, Bioenergy and Other Renewables",53888.009999999995,53.888009999999994
